Site do Objeto;ID Objeto;Descrição do Objeto;ID Ponto Teste;Descrição Ponto Teste;Cód Parâmetro;Descrição Parâmetros;Unid Medida;Valor Medido;Data Registro;Aviso;Tipo de Medição;Valores Registrados;ID Medição;Nota de Medição;Recurso Seq.
TLG;TLG1-C-ELD;ESTAÇÃO CLIENTE ELDORADO;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;7;13/05/2026 14:54;Criado por GETULIO;Leitura Registrada;7;;;
TLG;TLG1-C-ELD;ESTAÇÃO CLIENTE ELDORADO;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;24;13/05/2026 14:54;Criado por GETULIO;Leitura Registrada;24;;;
TLG;TLG1-ERS;ESTAÇÃO DE REDUÇÃO SECUNDÁRIA;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;5;13/05/2026 09:50;Criado por GETULIO;Leitura Registrada;5;;;
TLG;TLG1-ERS;ESTAÇÃO DE REDUÇÃO SECUNDÁRIA;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;16;13/05/2026 09:50;Criado por GETULIO;Leitura Registrada;16;;;
TLG;TLG1-ERS;ESTAÇÃO DE REDUÇÃO SECUNDÁRIA;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;7;22/05/2026 10:48;Criado por MERIVAN;Leitura Registrada;7;;X-am Gerele apontou 5 mg/m³;
TLG;TLG1-ERS;ESTAÇÃO DE REDUÇÃO SECUNDÁRIA;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;15;22/05/2026 10:49;Criado por MERIVAN;Leitura Registrada;15;;X-am Gerele apontou 15 mg/m³.;
TLG;TLG1-ERS2;ESTAÇÃO DE REDUÇÃO SECUNDÁRIA 2;COG; COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;5;13/05/2026 08:58;Criado por GETULIO;Leitura Registrada;5;;;
TLG;TLG1-ERS2;ESTAÇÃO DE REDUÇÃO SECUNDÁRIA 2;COG; COG THT e TBM;C_THT;THT COG 3min;mg/m3;18;13/05/2026 08:58;Criado por GETULIO;Leitura Registrada;18;;;
TLG;TLG1-ERS2;ESTAÇÃO DE REDUÇÃO SECUNDÁRIA 2;COG; COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;6;19/05/2026 10:30;Criado por GETULIO;Leitura Registrada;6;;;
TLG;TLG1-ERS2;ESTAÇÃO DE REDUÇÃO SECUNDÁRIA 2;COG; COG THT e TBM;C_THT;THT COG 3min;mg/m3;18;19/05/2026 10:30;Criado por GETULIO;Leitura Registrada;18;;;
TLG;TLG1-ERS2;ESTAÇÃO DE REDUÇÃO SECUNDÁRIA 2;COG; COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;8;22/05/2026 08:48;Criado por MERIVAN;Leitura Registrada;8;;X - am 5000 Gerele apontou 6 mg/m³.;
TLG;TLG1-ERS2;ESTAÇÃO DE REDUÇÃO SECUNDÁRIA 2;COG; COG THT e TBM;C_THT;THT COG 3min;mg/m3;19;22/05/2026 08:51;Criado por MERIVAN;Leitura Registrada;19;;X-am Gerele apontou 19 mg/m³.;
TLG;TLG1-UT;USINA TERMOELÉTRICA;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;5;13/05/2026 10:14;Criado por GETULIO;Leitura Registrada;5;;;
TLG;TLG1-UT;USINA TERMOELÉTRICA;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;12;13/05/2026 10:14;Criado por GETULIO;Leitura Registrada;12;;;
TLG;TLG1-UT;USINA TERMOELÉTRICA;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;9;22/05/2026 11:19;Criado por MERIVAN;Leitura Registrada;9;;X-am Gerele apontou 19 mg/m³.;
TLG;TLG1-UT;USINA TERMOELÉTRICA;COG;COG THT e TBM;C_THT;THT COG 3min;mg/m3;19;22/05/2026 11:20;Criado por MERIVAN;Leitura Registrada;19;;X-am Gerele apontou 19 mg/m³.;
TLG;TLG1-UT;USINA TERMOELÉTRICA;COG;COG THT e TBM;C_TBM;TBM COG 3min;mg/m3;9;22/05/2026 11:21;Criado por MERIVAN;Leitura Registrada;9;;X-am Gerele apontou 6 mg/m³.;
